,Irradiation_W,Price,CONSUMPTION
2391,577.54,53.0,3766.659504928242
2392,369.9,70.0,4079.504978759491
2393,154.83,81.8,3691.5765912087422
2394,0.0,79.0,4530.00246107649
2395,0.0,75.5,7433.208458230484
2396,0.0,66.85,9873.403154114229
2397,0.0,58.0,8684.59035355548
2398,0.0,62.7,9347.822758077731
2399,0.0,54.2,5280.8315982714885
2400,0.0,57.4,4454.919547356991
2401,0.0,56.0,3228.565289938493
2402,0.0,53.0,2652.929618088994
2403,0.0,51.4,2652.929618088994
2404,0.0,52.1,2540.3052475097443
2405,0.0,53.2,2840.636902387744
2406,91.65,50.0,2990.8027298267434
2407,279.87,57.0,3816.714780741242
2408,512.1,62.0,4792.79265909474
2409,706.81,64.7,4104.532616665991
2410,843.18,65.0,3641.5213153957434
2411,919.73,71.9,2853.150721340994
2412,933.32,58.9,2940.747454013744
2413,869.33,56.3,4242.184625151742
2414,731.46,56.0,6394.561485110737
2415,409.41,58.5,5969.091640700237
2416,265.68,72.5,4467.433366310241
2417,96.46,82.0,4767.76502118824
2418,0.0,80.0,4567.54391793624
2419,0.0,78.0,6995.224794866735
